"","reef_no","replicate","perimeter_m","area_m2","imagery_resolution_m","date","method","platform","imagery_type","provider","instrument","observer","notes"
"117",20,2,138.94,1536.189262,5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","AV",NA
"118",20,3,126.41,1271.60726,5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","AV",NA
"119",20,1,195.96,3055.800499,10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","AV",NA
"120",20,2,156.14,1940.074851,10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","AV",NA
"121",20,3,172.02,2354.767443,10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","AV",NA
"122",20,1,NA,NA,30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","AV",NA
"123",20,2,NA,NA,30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","AV",NA
"124",20,3,NA,NA,30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","AV",NA
"125",22,1,108.19,931.4603603,0.15,20130115,"imagery","GE","aerial","unknown","unknown","AV",NA
"126",22,2,110,962.8874057,0.15,20130115,"imagery","GE","aerial","unknown","unknown","AV",NA
"127",22,3,112,998.2198031,0.15,20130115,"imagery","GE","aerial","unknown","unknown","AV",NA
"128",22,1,105.85,891.6036972,0.5,20130822,"imagery","GE","satellite","DigitalGlobe","WorldView-1/2","AV",NA
"129",22,2,101.82,825.0045075,0.5,20130822,"imagery","GE","satellite","DigitalGlobe","WorldView-1/2","AV",NA
"130",22,3,105.62,887.7332002,0.5,20130822,"imagery","GE","satellite","DigitalGlobe","WorldView-1/2","AV",NA
"131",22,1,112.99,1015.944897,1,20110108,"imagery","GE","satellite","DigitalGlobe","Ikonos","AV",NA
"132",22,2,112,998.2198031,1,20110108,"imagery","GE","satellite","DigitalGlobe","Ikonos","AV",NA
"133",22,3,108.29,933.1830534,1,20110108,"imagery","GE","satellite","DigitalGlobe","Ikonos","AV",NA
"134",22,1,111.54,990.036979,2,20030412,"imagery","GE","satellite","DigitalGlobe","EarlyBird-1 (not 100% sure if this sat's imagery is in Google Earth","AV",NA
"135",22,2,119.26,1131.826208,2,20030412,"imagery","GE","satellite","DigitalGlobe","EarlyBird-1 (not 100% sure if this sat's imagery is in Google Earth","AV",NA
"136",22,3,111.75,993.7684383,2,20030412,"imagery","GE","satellite","DigitalGlobe","EarlyBird-1 (not 100% sure if this sat's imagery is in Google Earth","AV",NA
"137",22,1,108.17,931.1160127,3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","AV",NA
"138",22,2,109.58,955.5484848,3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","AV",NA
"139",22,3,105.4,884.0388638,3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","AV",NA
"140",22,1,91.55,666.970819,5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","AV",NA
"141",22,2,120.54,1156.252035,5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","AV",NA
"142",22,3,114.26,1038.911552,5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","AV",NA
"143",22,1,148.38,1752.027302,10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","AV",NA
"144",22,2,113.78,1030.201066,10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","AV",NA
"145",22,3,134.14,1431.880386,10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","AV",NA
"146",22,1,NA,NA,30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","AV",NA
"147",22,2,NA,NA,30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","AV",NA
"148",22,3,NA,NA,30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","AV",NA
"149",20,1,163.28,1941.6,0.15,20130115,"imagery","GE","aerial","unknown","unknown","GYC","calculate the area, not transform"
"150",20,2,161.94,1991.54,0.15,20130115,"imagery","GE","aerial","unknown","unknown","GYC","calculate the area, not transform"
"151",20,3,162.05,2015.74,0.15,20130115,"imagery","GE","aerial","unknown","unknown","GYC","calculate the area, not transform"
"152",20,1,143.76,1521.6,0.5,20130822,"imagery","GE","satellite","DigitalGlobe","WorldView-1/2","GYC","calculate the area, not transform"
"153",20,2,135.41,1389.13,0.5,20130822,"imagery","GE","satellite","DigitalGlobe","WorldView-1/2","GYC","calculate the area, not transform"
"154",20,3,136.48,1383.24,0.5,20130822,"imagery","GE","satellite","DigitalGlobe","WorldView-1/2","GYC","calculate the area, not transform"
"155",20,1,133.26,1336.53,1,20110108,"imagery","GE","satellite","DigitalGlobe","Ikonos","GYC","calculate the area, not transform"
"156",20,2,131.17,1284.45,1,20110108,"imagery","GE","satellite","DigitalGlobe","Ikonos","GYC","calculate the area, not transform"
"157",20,3,130.91,1250.08,1,20110108,"imagery","GE","satellite","DigitalGlobe","Ikonos","GYC","calculate the area, not transform"
"158",20,1,146.31,1595.01,2,20030412,"imagery","GE","satellite","DigitalGlobe","EarlyBird-1 (?)","GYC","calculate the area, not transform"
"159",20,2,137.84,1404.58,2,20030412,"imagery","GE","satellite","DigitalGlobe","EarlyBird-1 (?)","GYC","calculate the area, not transform"
"160",20,3,143.54,1501.92,2,20030412,"imagery","GE","satellite","DigitalGlobe","EarlyBird-1 (?)","GYC","calculate the area, not transform"
"161",20,1,165.33,2064.72,3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","GYC","calculate the area, not transform"
"162",20,2,151.34,2188.77,3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","GYC","calculate the area, not transform"
"163",20,3,157.79,2083.64,3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","GYC","calculate the area, not transform"
"164",20,1,126.55,1281.9,5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","GYC","calculate the area, not transform"
"165",20,2,125.31,1204.34,5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","GYC","calculate the area, not transform"
"166",20,3,124.98,1370.41,5,20160208,"imagery","PlanetExplorer","satellite","Planet","RapidEye","GYC","calculate the area, not transform"
"167",20,1,NA,NA,10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","GYC",""
"168",20,2,NA,NA,10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","GYC",""
"169",20,3,NA,NA,10,20180307,"imagery","PlanetExplorer","satellite","ESA","Sentinel-2","GYC",""
"170",20,1,NA,NA,30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","GYC",""
"171",20,2,NA,NA,30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","GYC",""
"172",20,3,NA,NA,30,20190328,"imagery","PlanetExplorer","satellite","USGS","Landsat 8","GYC",""
"173",22,1,129.39,1221.43,0.15,20130115,"imagery","GE","aerial","unknown","unknown","GYC","calculate the area, not transform"
"174",22,2,126.86,1216.07,0.15,20130115,"imagery","GE","aerial","unknown","unknown","GYC","calculate the area, not transform"
"175",22,3,126.19,1224.11,0.15,20130115,"imagery","GE","aerial","unknown","unknown","GYC","calculate the area, not transform"
"176",22,1,131.55,1316.02,0.5,20130822,"imagery","GE","satellite","DigitalGlobe","WorldView-1/2","GYC","calculate the area, not transform"
"177",22,2,129.54,1260.88,0.5,20130822,"imagery","GE","satellite","DigitalGlobe","WorldView-1/2","GYC","calculate the area, not transform"
"178",22,3,117.98,1080.73,0.5,20130822,"imagery","GE","satellite","DigitalGlobe","WorldView-1/2","GYC","calculate the area, not transform"
"179",22,1,120.25,1113.05,1,20110108,"imagery","GE","satellite","DigitalGlobe","Ikonos","GYC","calculate the area, not transform"
"180",22,2,118.4,1058.18,1,20110108,"imagery","GE","satellite","DigitalGlobe","Ikonos","GYC","calculate the area, not transform"
"181",22,3,110.6,918.4,1,20110108,"imagery","GE","satellite","DigitalGlobe","Ikonos","GYC","calculate the area, not transform"
"182",22,1,126.43,1191.69,2,20030412,"imagery","GE","satellite","DigitalGlobe","EarlyBird-1 (not 100% sure if this sat's imagery is in Google Earth","GYC","calculate the area, not transform"
"183",22,2,124.37,1170.19,2,20030412,"imagery","GE","satellite","DigitalGlobe","EarlyBird-1 (not 100% sure if this sat's imagery is in Google Earth","GYC","calculate the area, not transform"
"184",22,3,133.15,1289.23,2,20030412,"imagery","GE","satellite","DigitalGlobe","EarlyBird-1 (not 100% sure if this sat's imagery is in Google Earth","GYC","calculate the area, not transform"
"185",22,1,123.86,1296.36,3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","GYC","calculate the area, not transform"
"186",22,2,123.54,1223.78,3,20190316,"imagery","PlanetExplorer","satellite","Planet","PlanetScope (formerly Dove CubeSats)","GYC","calculate the area, not transform"
